"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote"
"XXII","22nd Century Group, Inc","2.29","235321178.6","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii"
"FAX","Aberdeen Asia-Pacific Income Fund Inc","5.15","1298473743.6","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax"
"IAF","Aberdeen Australia Equity Fund Inc","6.28","142821807.28","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf"
"CH","Aberdeen Chile Fund, Inc.","8.24","77107365.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch"
"ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","14.22","134874040.86","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abe"
"FCO","Aberdeen Global Income Fund, Inc.","8.9","77650622.1","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco"
"IF","Aberdeen Indonesia Fund, Inc.","7.57","70434126.32","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/if"
"ISL","Aberdeen Israel Fund, Inc.","19.64","78520700.36","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl"
"ACU","Acme United Corporation.","23.58","79510651.74","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu"
"ATNM","Actinium Pharmaceuticals, Inc.","0.6498","51997368.3354","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm"
"AE","Adams Resources & Energy, Inc.","35.49","149682482.04","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae"
"ADK","Adcare Health Systems Inc","0.96","18971554.56","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk"
"ADK^A","Adcare Health Systems Inc","21.66","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a"
"ACY","AeroCentury Corp.","13.15","18629591.85","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy"
"AIRI","Air Industries Group","1.38","19668891.6","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi"
"AXU","Alexco Resource Corp","1.75","177040071.25","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu"
"ALO","Alio Gold Inc.","4.42","192821881.2","n/a","2011","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/alo"
"AAU","Almaden Minerals, Ltd.","1.21","121170745.52","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau"
"APT","Alpha Pro Tech, Ltd.","3.4","51358771.4","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt"
"AAMC","Altisource Asset Management Corp","93","146273841","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc"
"DIT","AMCON Distributing Company","94.35","64057800.3","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit"
"ALN","American Lorain Corporation","0.4009","15344243.041","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln"
