"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote"
"PIH","1347 Property Insurance Holdings, Inc.","7.5","44675745","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih"
"TURN","180 Degree Capital Corp.","1.61","50105714.82","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn"
"FLWS","1-800 FLOWERS.COM, Inc.","8.85","578215626.15","n/a","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws"
"FCCY","1st Constitution Bancorp (NJ)","17.2","138791495.6","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy"
"SRCE","1st Source Corporation","46.57","1207808038.68","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce"
"VNET","21Vianet Group, Inc.","4.84","287808015.44","59464466","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","49.22","2358857031.74","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou"
"JOBS","51job, Inc.","58.06","1555623120.26","26793371","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs"
"CAFD","8point3 Energy Partners LP","14.36","1135603619.52","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd"
"EGHT","8x8 Inc","13.2","1212138826.8","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght"
"AVHI","A V Homes, Inc.","14.9","334589766.1","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi"
"SHLM","A. Schulman, Inc.","30.9","910459848","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm"
"AAON","AAON, Inc.","32","1683315904","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon"
"ABAX","ABAXIS, Inc.","45.82","1039701620","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax"
"ABEO","Abeona Therapeutics Inc.","11.25","453231663.75","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo"
"ABEOW","Abeona Therapeutics Inc.","7.45","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow"
"ABIL","Ability Inc.","0.753","19394374.926","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil"
"ABMD","ABIOMED, Inc.","145.39","6412013914.74","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd"
"AXAS","Abraxas Petroleum Corporation","1.65","273652336.65","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas"
"ACIU","AC Immune SA","7.06","401871028.52","n/a","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu"
"ACIA","Acacia Communications, Inc.","49.5","1941792187.5","n/a","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia"
"ACTG","Acacia Research Corporation","3.4","172031326.6","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg"
"ACHC","Acadia Healthcare Company, Inc.","45.83","4027589025.63","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc"
"ACAD","ACADIA Pharmaceuticals Inc.","33.91","4150594376.46","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad"
"ACST","Acasti Pharma, Inc.","1.3","19156718.1","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst"
"AXDX","Accelerate Diagnostics, Inc.","22.7","1255269639.4","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx"
"ACCP","Accelerated Pharma, Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/accp"
"XLRN","Acceleron Pharma Inc.","36.51","1412392015.23","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn"
"ANCX","Access National Corporation","25.49","519791927.06","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx"
"ARAY","Accuray Incorporated","4.05","336153912.3","n/a","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray"
