"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote"
"DDD","3D Systems Corporation","12.76","1452091177.24","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd"
"MMM","3M Company","202.92","121095989469.24","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm"
"WBAI","500.com Limited","9.88","402784065.84","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai"
"WUBA","58.com Inc.","62.9","9156634414.6","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba"
"AHC","A.H. Belo Corporation","5.05","109853488.3","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc"
"ATEN","A10 Networks, Inc.","6.41","453611630.45","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten"
"AAC","AAC Holdings, Inc.","8.98","216066774.24","n/a","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac"
"AIR","AAR Corp.","35.54","1222451645.54","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air"
"AAN","Aaron&#39;s,  Inc.","44.36","3219573432.36","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan"
"ABB","ABB Ltd","22.92","48911180664.72","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb"
"ABT","Abbott Laboratories","50.15","87132779689.6","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt"
"ABBV","AbbVie Inc.","73.89","117787657235.22","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv"
"ANF","Abercrombie & Fitch Company","12.54","852922972.44","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf"
"GCH","Aberdeen Greater China Fund, Inc.","11.89","104831680.66","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch"
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.68","116118366.56","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq"
"SGF","Aberdeen Singapore Fund, Inc.","11.62","86208175.76","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf"
"ABM","ABM Industries Incorporated","43.81","2443702479.79","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm"
"AKR","Acadia Realty Trust","28.34","2370906064.02","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr"
"ACN","Accenture plc","129.66","82824367669.14","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn"
"ACCO","Acco Brands Corporation","10.9","1186398629.9","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco"
"ATV","Acorn International, Inc.","15.35","57874765.05","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv"
"ATU","Actuant Corporation","23.2","1384949172","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu"
"AYI","Acuity Brands Inc","173.99","7323812919.02","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi"
"GOLF","Acushnet Holdings Corp.","16.76","1247815134.52","n/a","2016","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/golf"
"ADX","Adams Diversified Equity Fund, Inc.","14.63","1445928165.22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx"
"PEO","Adams Natural Resources Fund, Inc.","17.91","511349287.59","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peo"
"AGRO","Adecoagro S.A.","9.67","1168176817.07","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro"
"ADNT","Adient plc","68.3","6360555112.6","n/a","2016","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adnt"
"ATGE","Adtalem Global Education Inc.","33.85","2101272600","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atge"
"AAP","Advance Auto Parts Inc","95.12","7025809370.56","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap"
"ADSW","Advanced Disposal Services, Inc.","23.69","2093185100.32","n/a","2016","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/adsw"
"WMS","Advanced Drainage Systems, Inc.","19.35","1069012963.8","n/a","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms"
"ASX","Advanced Semiconductor Engineering, Inc.","6.13","10143367451.17","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx"
"ASIX","AdvanSix Inc.","31.17","950154050.22","n/a","2016","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/asix"
"AAV","Advantage Oil & Gas Ltd","6.35","1180793568.05","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav"
"AVK","Advent Claymore Convertible Securities and Income Fund","16.03","378001458.31","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk"
"AGC","Advent Claymore Convertible Securities and Income Fund II","6.14","197688818.64","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/agc"
"LCM","Advent/Claymore Enhanced Growth & Income Fund","8.34","76578221.94","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/lcm"
"ACM","AECOM","32.26","5055488956.3","n/a","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm"
"ANW","Aegean Marine Petroleum Network Inc.","5.1","207233002.2","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw"
"AEB","Aegon NV","25.1","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb"
"AED","Aegon NV","26.29","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed"
"AEG","Aegon NV","5.67","23613423750","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg"
"AEH","Aegon NV","26.07","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh"
"AEK","Aegon NV","25.98","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek"
"AER","Aercap Holdings N.V.","49.48","8085953614.48","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer"
"HIVE","Aerohive Networks, Inc.","3.4","183170474.6","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive"
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","28.04","2105804000","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/ajrd"
"AET","Aetna Inc.","156.42","51947082000","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet"
"AMG","Affiliated Managers Group, Inc.","173.88","9730385658","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg"
"AFL","Aflac Incorporated","81.71","32294169679.29","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl"
"AFSD","Aflac Incorporated","25.43","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd"
"MITT","AG Mortgage Investment Trust, Inc.","19.15","532914645.15","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/mitt"
"MITT^A","AG Mortgage Investment Trust, Inc.","25.34","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^a"
"MITT^B","AG Mortgage Investment Trust, Inc.","25.19","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^b"
"AGCO","AGCO Corporation","66.56","5294128819.2","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco"
"A","Agilent Technologies, Inc.","63.49","20443780000","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/a"
"AEM","Agnico Eagle Mines Limited","51.02","11835669497.56","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aem"
"ADC","Agree Realty Corporation","49.04","1404353723.12","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/adc"
"AGU","Agrium Inc.","97.2","13430820146.4","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/agu"
"AL","Air Lease Corporation","39.43","4069650658.34","n/a","2011","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/al"
"APD","Air Products and Chemicals, Inc.","145.37","31684462731.53","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apd"
"AYR","Aircastle Limited","21.91","1724617276.55","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr"
"AKS","AK Steel Holding Corporation","5.5","1731664517","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/aks"
"ALP^O","Alabama Power Company","27.75","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/alp^o"
"ALG","Alamo Group, Inc.","89.27","1038013170.38","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/alg"
"AGI","Alamos Gold Inc.","8.24","2476979366.08","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/agi"
"ALK","Alaska Air Group, Inc.","74.38","9187823937.94","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk"
"AIN","Albany International Corporation","52.3","1678830000","n/a","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/ain"
"ALB","Albemarle Corporation","114.46","12644709248.1","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alb"
"AA","Alcoa Corporation","43","7926599876","n/a","2016","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa"
"ALR","Alere Inc.","49.1","4300047639.5","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/alr"
"ALR^B","Alere Inc.","386.02","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alr^b"
